Card Name,List,Description,Labels,Start Date,Due Date,Members
SRE-25 · Consultation #3 (Tentative),Planned,Assignee: Team | Status on Gantt chart: Tentative,"Tentative,Team",,2026-09-10,Team
SRE-26 · Final revisions & formatting,Planned,Assignee: Team | Status on Gantt chart: Planned,Team,2026-09-10,2026-09-12,Team
SRE-27 · Prepare presentation & rehearse,Planned,Assignee: Team | Status on Gantt chart: Planned,Team,2026-09-12,2026-09-13,Team
SRE-28 · Final submission & presentation,Planned,Assignee: Team | Status on Gantt chart: Milestone,"Milestone,Team",,2026-09-14,Team
DEV-01 · ADR-000: modular monolith over microservices,Planned,"Assignee: Dev | Sprint: S0 · Foundation & DevOps | Goal: Lock the macro-architecture decision and write it down before any code exists. || AC: ADR file in /docs/adr states chosen style, rejected alternatives, and the trigger conditions that would justify extraction later. || Owner: solo dev, WIP=1","Docs,Architecture",2026-09-15,2026-09-15,Dev
"DEV-02 · Monorepo, branching model & commit conventions",Planned,"Assignee: Dev | Sprint: S0 · Foundation & DevOps | Goal: Single repo: /backend (Spring), /frontend (Angular), /ops (compose, k8s, CI), /docs. || AC: Trunk-based with short-lived branches; Conventional Commits enforced by commitlint hook; PR template committed. || Owner: solo dev, WIP=1",DevOps,2026-09-15,2026-09-16,Dev
DEV-03 · Spring Boot 3.5 skeleton + Spring Modulith boundaries,Planned,"Assignee: Dev | Sprint: S0 · Foundation & DevOps | Goal: Bootstrap the backend with enforced module packages: identity, catalog, pricing, ordering, payment, fulfilment, donation, advertising, support, reporting, shared. || AC: Each module exposes an api package only; ApplicationModules.of(App.class).verify() passes in CI. || Owner: solo dev, WIP=1","Backend,Architecture",2026-09-16,2026-09-18,Dev
DEV-04 · PostgreSQL + Flyway baseline & schema conventions,Planned,"Assignee: Dev | Sprint: S0 · Foundation & DevOps | Goal: Versioned migrations from day one. ddl-auto=validate, never update. || AC: V1__baseline.sql applies cleanly on empty DB; snake_case naming, UUIDv7 PKs, created_at/updated_at/version on every table; money stored as BIGINT minor units (poisha). || Owner: solo dev, WIP=1","Database,Backend",2026-09-17,2026-09-18,Dev
DEV-05 · Docker Compose dev stack,Planned,"Assignee: Dev | Sprint: S0 · Foundation & DevOps | Goal: One command spins up Postgres, Redis, MinIO (object storage), MailHog, and the app. || AC: docker compose up brings a working local env in under 2 min; seeded admin user; documented in README. || Owner: solo dev, WIP=1",DevOps,2026-09-18,2026-09-19,Dev
"DEV-06 · Cross-cutting: RFC 7807 errors, correlation IDs, JSON logging",Planned,"Assignee: Dev | Sprint: S0 · Foundation & DevOps | Goal: Ship the plumbing once so no module reinvents it. || AC: All errors return application/problem+json; X-Request-Id propagated and logged via MDC; logs are structured JSON. || Owner: solo dev, WIP=1","Backend,Architecture",2026-09-19,2026-09-21,Dev
"DEV-07 · Angular 21 shell: standalone, signals, lazy routes",Planned,"Assignee: Dev | Sprint: S0 · Foundation & DevOps | Goal: Frontend skeleton with auth guard stub, HTTP interceptor, env config, and route-level code splitting. || AC: Lazy feature routes load on demand; interceptor attaches JWT and handles 401 refresh; prod build under budget. || Owner: solo dev, WIP=1",Frontend,2026-09-21,2026-09-23,Dev
DEV-08 · Design system & responsive app shell,Planned,"Assignee: Dev | Sprint: S0 · Foundation & DevOps | Goal: Tokens, typography, spacing scale, component primitives, mobile-first layout. || AC: Buttons/inputs/cards/table/modal primitives documented on a /styleguide route; passes basic a11y contrast; i18n scaffold ready for Bangla. || Owner: solo dev, WIP=1",Frontend,2026-09-23,2026-09-24,Dev
"DEV-09 · CI pipeline: build, test, scan, publish",Planned,"Assignee: Dev | Sprint: S0 · Foundation & DevOps | Goal: GitHub Actions running backend + frontend builds, Testcontainers integration tests, and image publish to GHCR. || AC: PR gate is red on any failing test; Trivy scan on images; build under 8 min. || Owner: solo dev, WIP=1","DevOps,Testing",2026-09-24,2026-09-25,Dev
DEV-10 · Test strategy baseline + ArchUnit boundary tests,Planned,"Assignee: Dev | Sprint: S0 · Foundation & DevOps | Goal: Define the pyramid: unit for domain logic, @DataJpaTest/@WebMvcTest slices, Testcontainers for integration. || AC: ArchUnit fails the build when a module reaches into another module's internals; coverage gate set on domain packages only. || Owner: solo dev, WIP=1","Testing,Architecture",2026-09-25,2026-09-26,Dev
DEV-11 · MILESTONE: walking skeleton live on staging,Planned,"Assignee: Dev | Sprint: S0 · Foundation & DevOps | Goal: Thin vertical slice (login stub -> API -> DB -> UI) deployed and reachable. || AC: Staging URL responds; /actuator/health green; deploy is repeatable from CI. || Owner: solo dev, WIP=1","Milestone,DevOps",2026-09-26,2026-09-26,Dev
DEV-12 · Domain model: Account + role specialisation,Planned,"Assignee: Dev | Sprint: S1 · Identity, eKYC & Zones | Goal: Model Customer / Merchant / Organisation / DeliveryEmployee / Administrator without an inheritance mess. || AC: Single Account identity + role-specific profile tables (1:1), not JPA class-table inheritance; decision captured in an ADR. || Owner: solo dev, WIP=1","Backend,Database,Architecture",2026-09-28,2026-09-29,Dev
DEV-13 · Spring Security 6 + JWT access/refresh + RBAC,Planned,"Assignee: Dev | Sprint: S1 · Identity, eKYC & Zones | Goal: Stateless auth with short-lived access tokens and rotating refresh tokens. || AC: BCrypt hashing; refresh rotation with reuse detection; method-level @PreAuthorize on every non-public endpoint; role hierarchy tested. || Owner: solo dev, WIP=1","Backend,Security",2026-09-29,2026-10-01,Dev
DEV-14 · Mobile OTP verification behind a provider port,Planned,"Assignee: Dev | Sprint: S1 · Identity, eKYC & Zones | Goal: Phone is the primary identity in BD; SMS provider must be swappable. || AC: SmsSender port with a logging adapter for dev; OTP rate-limited, hashed at rest, 5 min TTL, max 3 attempts. || Owner: solo dev, WIP=1","Backend,Security",2026-10-01,2026-10-02,Dev
DEV-15 · eKYC submission: NID reference + document upload,Planned,"Assignee: Dev | Sprint: S1 · Identity, eKYC & Zones | Goal: Merchants, NGOs and delivery staff must upload identity documents before transacting. || AC: Presigned S3/MinIO upload, MIME + size validation, NID reference encrypted at rest (envelope encryption), documents never served publicly. || Owner: solo dev, WIP=1","Backend,Security,High-Risk",2026-10-02,2026-10-05,Dev
DEV-16 · Admin verification queue with audit trail,Planned,"Assignee: Dev | Sprint: S1 · Identity, eKYC & Zones | Goal: Approve/reject KYC with reason codes and full history. || AC: Immutable audit_log rows (who, what, when, before/after); rejected accounts can resubmit; state machine tested. || Owner: solo dev, WIP=1",Backend,2026-10-05,2026-10-06,Dev
"DEV-17 · Zone model, geo lookup & zone selection API",Planned,"Assignee: Dev | Sprint: S1 · Identity, eKYC & Zones | Goal: Zones are the sharding key for the whole catalog — get them right early. || AC: Zone CRUD for admin; user zone selection persisted; optional lat/lng -> nearest zone resolution; zone_id indexed everywhere it is queried. || Owner: solo dev, WIP=1","Backend,Database",2026-10-06,2026-10-07,Dev
DEV-18 · Frontend: auth flows + role-based routing,Planned,"Assignee: Dev | Sprint: S1 · Identity, eKYC & Zones | Goal: Register, login, OTP, refresh, logout, guarded routes per role. || AC: Wrong-role navigation redirects, not errors; token refresh is transparent; session survives reload. || Owner: solo dev, WIP=1",Frontend,2026-10-07,2026-10-09,Dev
DEV-19 · Frontend: eKYC wizard + verification status,Planned,"Assignee: Dev | Sprint: S1 · Identity, eKYC & Zones | Goal: Multi-step upload flow with progress, retry and clear rejection feedback. || AC: Resumable step state; file preview before upload; status badge reflects backend state machine. || Owner: solo dev, WIP=1",Frontend,2026-10-08,2026-10-09,Dev
DEV-20 · Integration tests: auth + KYC state machine,Planned,"Assignee: Dev | Sprint: S1 · Identity, eKYC & Zones | Goal: Lock the security-critical paths before building on them. || AC: Testcontainers suite covers registration, OTP, login, refresh reuse detection, KYC approve/reject/resubmit. || Owner: solo dev, WIP=1","Testing,Security",2026-10-09,2026-10-10,Dev
DEV-21 · MILESTONE: verified account can log in and pick a zone,Planned,"Assignee: Dev | Sprint: S1 · Identity, eKYC & Zones | Goal: Identity slice complete end to end. || AC: Demo: merchant registers, completes eKYC, admin approves, merchant logs in and selects a zone. || Owner: solo dev, WIP=1",Milestone,2026-10-10,2026-10-10,Dev
DEV-22 · ProductListing aggregate + status state machine,Planned,"Assignee: Dev | Sprint: S2 · Catalog, Expiry & Pricing | Goal: DRAFT -> ACTIVE -> RESERVED -> SOLD / EXPIRED / WITHDRAWN with legal transitions only. || AC: Illegal transitions throw a domain exception, not a DB constraint error; state transitions unit-tested exhaustively. || Owner: solo dev, WIP=1","Backend,Architecture",2026-10-12,2026-10-14,Dev
DEV-23 · Expiry-proof photo upload + image pipeline,Planned,"Assignee: Dev | Sprint: S2 · Catalog, Expiry & Pricing | Goal: Expiry photo is the trust anchor of the whole platform — it must be mandatory and tamper-evident. || AC: Server-side validation, EXIF stripped, thumbnail generated, original retained for audit, upload rejected if expiryDate is in the past. || Owner: solo dev, WIP=1","Backend,Security",2026-10-14,2026-10-15,Dev
DEV-24 · Pricing engine: market price + discount band rules,Planned,"Assignee: Dev | Sprint: S2 · Catalog, Expiry & Pricing | Goal: Implement PricingRule (marketPrice, discountMin, discountMax) as a pure domain service, per category. || AC: Zero floating-point money anywhere; rounding rules tested at band edges; merchant cannot price outside the allowed band; rule changes are versioned, not overwritten. || Owner: solo dev, WIP=1","Backend,High-Risk",2026-10-15,2026-10-17,Dev
"DEV-25 · Scheduled expiry sweeper (ShedLock, idempotent)",Planned,"Assignee: Dev | Sprint: S2 · Catalog, Expiry & Pricing | Goal: Auto-withdraw listings past expiry so unsafe product can never be ordered. || AC: Runs on a single node under ShedLock; batched and idempotent; emits ListingExpired events; covered by a time-travel test. || Owner: solo dev, WIP=1","Backend,High-Risk",2026-10-17,2026-10-18,Dev
"DEV-26 · Zone-scoped catalog search: filters, sort, keyset pagination",Planned,"Assignee: Dev | Sprint: S2 · Catalog, Expiry & Pricing | Goal: The hottest read path in the system. Design the indexes, do not discover them later. || AC: Keyset (not OFFSET) pagination; composite index on (zone_id, status, expiry_date); p95 under 200 ms at 10k listings; EXPLAIN ANALYZE attached to the card. || Owner: solo dev, WIP=1","Backend,Database,Performance",2026-10-18,2026-10-20,Dev
DEV-27 · Merchant listing management UI,Planned,"Assignee: Dev | Sprint: S2 · Catalog, Expiry & Pricing | Goal: Create, edit, withdraw, and bulk-upload listings with live price-band feedback. || AC: Inline validation mirrors server rules; bulk CSV import with per-row error report; optimistic UI on status changes. || Owner: solo dev, WIP=1",Frontend,2026-10-20,2026-10-22,Dev
"DEV-28 · Customer browse, search & listing detail UI",Planned,"Assignee: Dev | Sprint: S2 · Catalog, Expiry & Pricing | Goal: Zone-aware catalog with filters, sorting, and a detail page showing expiry proof and savings. || AC: Infinite scroll on keyset cursor; expiry countdown visible; empty and error states designed, not default. || Owner: solo dev, WIP=1",Frontend,2026-10-22,2026-10-23,Dev
DEV-29 · Catalog performance baseline: seed 10k listings & profile,Planned,"Assignee: Dev | Sprint: S2 · Catalog, Expiry & Pricing | Goal: Establish the number you will defend for the rest of the project. || AC: Seed script committed; query plans reviewed; slow queries logged above 100 ms; results recorded in /docs/perf.md. || Owner: solo dev, WIP=1","Testing,Performance,Database",2026-10-23,2026-10-24,Dev
DEV-30 · MILESTONE: catalog live on staging,Planned,"Assignee: Dev | Sprint: S2 · Catalog, Expiry & Pricing | Goal: Merchant can list surplus, customer can find it by zone. || AC: Demo path works on staging with seeded data and real image uploads. || Owner: solo dev, WIP=1",Milestone,2026-10-24,2026-10-24,Dev
DEV-31 · SPIKE: inventory reservation strategy (DB lock vs Redis TTL hold),Planned,"Assignee: Dev | Sprint: S3 · Ordering, Limits & Reservations | Goal: Decide how a unit is held between checkout start and payment confirmation. This is the single highest-risk design call in the system. || AC: Timeboxed to 1 day; prototype both; ADR records the choice, the oversell failure mode, and the release mechanism. || Owner: solo dev, WIP=1","Spike,Architecture,High-Risk",2026-10-26,2026-10-27,Dev
DEV-32 · Order + OrderItem aggregate with price snapshot,Planned,"Assignee: Dev | Sprint: S3 · Ordering, Limits & Reservations | Goal: Orders must capture the price and expiry at order time, never join live to the listing. || AC: OrderItem stores unitPrice, quantity, listing snapshot; total recomputed and asserted server-side; client-sent totals ignored. || Owner: solo dev, WIP=1","Backend,Architecture",2026-10-27,2026-10-29,Dev
DEV-33 · Purchase-limit policy engine (anti-hoarding),Planned,"Assignee: Dev | Sprint: S3 · Ordering, Limits & Reservations | Goal: Enforce per-user, per-category, per-rolling-window quantity caps as a pluggable policy. || AC: Policies are data-driven, not hardcoded; evaluated inside the order transaction; violations return a typed 409 with the remaining allowance. || Owner: solo dev, WIP=1","Backend,High-Risk",2026-10-29,2026-10-31,Dev
DEV-34 · Inventory reservation with optimistic locking + TTL release,Planned,"Assignee: Dev | Sprint: S3 · Ordering, Limits & Reservations | Goal: Implement the strategy chosen in DEV-31 with a background release of abandoned holds. || AC: @Version on listing quantity; conflicting update retries then fails cleanly; expired holds released within 60 s; no negative stock reachable. || Owner: solo dev, WIP=1","Backend,High-Risk",2026-10-31,2026-11-02,Dev
"DEV-35 · Concurrency test: 50 parallel buyers, 1 unit, zero oversell",Planned,"Assignee: Dev | Sprint: S3 · Ordering, Limits & Reservations | Goal: Prove the reservation design under contention instead of hoping. || AC: JUnit + Testcontainers test fires N concurrent checkouts; exactly one succeeds; run it in CI, not by hand. || Owner: solo dev, WIP=1","Testing,High-Risk",2026-11-02,2026-11-03,Dev
"DEV-36 · Order state machine, cancellation rules & audit",Planned,"Assignee: Dev | Sprint: S3 · Ordering, Limits & Reservations | Goal: PENDING -> PAID -> PREPARING -> OUT_FOR_DELIVERY / READY_FOR_PICKUP -> COMPLETED / CANCELLED / REFUNDED. || AC: Cancellation windows enforced per state; every transition audited with actor and reason; restocking on cancel is transactional. || Owner: solo dev, WIP=1",Backend,2026-11-03,2026-11-04,Dev
DEV-37 · Cart & checkout UI (pickup vs delivery),Planned,"Assignee: Dev | Sprint: S3 · Ordering, Limits & Reservations | Goal: Single-page checkout showing savings, limit remaining, fulfilment choice and hold countdown. || AC: Hold timer visible; limit breach explained in plain language; address/pickup-slot selection validated client and server side. || Owner: solo dev, WIP=1",Frontend,2026-11-04,2026-11-06,Dev
DEV-38 · Order history & live status tracking UI,Planned,"Assignee: Dev | Sprint: S3 · Ordering, Limits & Reservations | Goal: Customer and merchant views of order lifecycle. || AC: Status timeline component; polling or SSE for live updates; cancel action respects server-side rules. || Owner: solo dev, WIP=1",Frontend,2026-11-06,2026-11-07,Dev
DEV-39 · MILESTONE: end-to-end order with mock payment,Planned,"Assignee: Dev | Sprint: S3 · Ordering, Limits & Reservations | Goal: Full ordering slice working without a real gateway. || AC: Browse -> reserve -> limit check -> order -> confirm, with oversell test green in CI. || Owner: solo dev, WIP=1",Milestone,2026-11-07,2026-11-07,Dev
DEV-40 · Payment port + bKash/Nagad sandbox adapters,Planned,"Assignee: Dev | Sprint: S4 · Payments & Fulfilment | Goal: Hexagonal boundary: domain talks to PaymentGateway, never to a vendor SDK. || AC: Two adapters behind one port; gateway selection configurable; a fake adapter drives all tests; no vendor type leaks into the domain. || Owner: solo dev, WIP=1","Backend,Architecture",2026-11-09,2026-11-11,Dev
DEV-41 · Payment webhook: signature verification + idempotency,Planned,"Assignee: Dev | Sprint: S4 · Payments & Fulfilment | Goal: Webhooks arrive out of order, duplicated, and late. Design for that, not the happy path. || AC: Signature verified before parsing; idempotency key stored with a unique constraint; duplicate delivery is a no-op; replayed and out-of-order callbacks tested. || Owner: solo dev, WIP=1","Backend,Security,High-Risk",2026-11-11,2026-11-13,Dev
DEV-42 · Transactional outbox + async event dispatch,Planned,"Assignee: Dev | Sprint: S4 · Payments & Fulfilment | Goal: No distributed transactions: commit state and event in one DB transaction, publish after. || AC: outbox table + relay with at-least-once delivery; consumers idempotent; dead-letter handling and retry backoff in place. || Owner: solo dev, WIP=1","Backend,Architecture,High-Risk",2026-11-13,2026-11-15,Dev
"DEV-43 · Refunds, reconciliation job & payment ledger",Planned,"Assignee: Dev | Sprint: S4 · Payments & Fulfilment | Goal: Every money movement is an append-only ledger entry; balances are derived, never mutated. || AC: Daily reconciliation against gateway reports flags mismatches; partial refunds supported; ledger sums match order totals in a property test. || Owner: solo dev, WIP=1","Backend,High-Risk",2026-11-15,2026-11-16,Dev
DEV-44 · Delivery assignment & delivery-employee status updates,Planned,"Assignee: Dev | Sprint: S4 · Payments & Fulfilment | Goal: Zone-based assignment with pickup/delivered transitions and proof of delivery. || AC: Assignment respects dutyZone and current load; status updates are idempotent; delivery photo/OTP confirmation on completion. || Owner: solo dev, WIP=1",Backend,2026-11-16,2026-11-18,Dev
DEV-45 · Notification module driven by domain events,Planned,"Assignee: Dev | Sprint: S4 · Payments & Fulfilment | Goal: Email / SMS / in-app notifications consuming outbox events, never called inline from business logic. || AC: Templated messages; per-channel opt-out; failures retried without blocking the originating transaction. || Owner: solo dev, WIP=1",Backend,2026-11-18,2026-11-19,Dev
DEV-46 · Delivery-employee mobile-first UI,Planned,"Assignee: Dev | Sprint: S4 · Payments & Fulfilment | Goal: Assigned-jobs list, route detail, status buttons, proof capture — designed for a phone on a bike. || AC: Works on a 360px viewport; large touch targets; degrades gracefully on poor connectivity. || Owner: solo dev, WIP=1",Frontend,2026-11-19,2026-11-20,Dev
DEV-47 · Payment failure & timeout scenario tests (WireMock),Planned,"Assignee: Dev | Sprint: S4 · Payments & Fulfilment | Goal: Simulate gateway 500s, timeouts, late success, and double-callback. || AC: Every failure path leaves the system in a consistent state: reservation released or order paid, never both, never neither. || Owner: solo dev, WIP=1","Testing,High-Risk",2026-11-20,2026-11-21,Dev
DEV-48 · MILESTONE: paid order delivered end to end,Planned,"Assignee: Dev | Sprint: S4 · Payments & Fulfilment | Goal: Money in, product out, fully traced. || AC: Demo: sandbox payment -> webhook -> fulfilment -> delivery confirmation, with correlation ID traceable through logs. || Owner: solo dev, WIP=1",Milestone,2026-11-21,2026-11-21,Dev
DEV-49 · Donation flow with chain of custody,Planned,"Assignee: Dev | Sprint: S5 · Donations, Ads, Complaints & Admin | Goal: Merchant donates surplus -> NGO requests -> admin/auto allocation -> handover confirmed. || AC: Donation is a first-class aggregate reusing the reservation engine; every custody change is audited; no donated item can be resold. || Owner: solo dev, WIP=1","Backend,Architecture",2026-11-23,2026-11-25,Dev
DEV-50 · NGO / Organisation portal,Planned,"Assignee: Dev | Sprint: S5 · Donations, Ads, Complaints & Admin | Goal: Request donations, track allocations, confirm receipt, view beneficiary counts. || AC: Request form scoped to verified orgs only; allocation status timeline; receipt confirmation closes the loop. || Owner: solo dev, WIP=1",Frontend,2026-11-25,2026-11-26,Dev
"DEV-51 · Advertisement module: submission, approval, campaign window",Planned,"Assignee: Dev | Sprint: S5 · Donations, Ads, Complaints & Admin | Goal: Orgs and merchants submit ads; admin approves; approved ads serve within their date window. || AC: Ad serving is zone- and window-filtered; impression/click counters are append-only; expired campaigns stop serving automatically. || Owner: solo dev, WIP=1",Backend,2026-11-26,2026-11-28,Dev
DEV-52 · Complaint ticketing with SLA & resolution,Planned,"Assignee: Dev | Sprint: S5 · Donations, Ads, Complaints & Admin | Goal: Customers, merchants and NGOs raise complaints; admin assigns, resolves, and closes. || AC: Ticket state machine; SLA clock with breach flag; full conversation thread persisted; resolution reason codes. || Owner: solo dev, WIP=1",Backend,2026-11-28,2026-11-30,Dev
"DEV-53 · Admin console: moderation, user actions, audit viewer",Planned,"Assignee: Dev | Sprint: S5 · Donations, Ads, Complaints & Admin | Goal: One place to verify accounts, moderate listings, suspend users, and read the audit log. || AC: Every destructive action requires a reason and lands in audit_log; audit viewer is filterable by actor, entity and date. || Owner: solo dev, WIP=1","Frontend,Security",2026-11-30,2026-12-02,Dev
DEV-54 · Impact metrics engine,Planned,"Assignee: Dev | Sprint: S5 · Donations, Ads, Complaints & Admin | Goal: Quantify the social claim: units saved from waste, weight redistributed, beneficiaries served, value delivered to low-income buyers. || AC: Computed from events into a reporting schema (materialised views refreshed nightly), never with ad-hoc queries over transactional tables. || Owner: solo dev, WIP=1","Backend,Database",2026-12-02,2026-12-03,Dev
DEV-55 · Reporting & export for admin and investors,Planned,"Assignee: Dev | Sprint: S5 · Donations, Ads, Complaints & Admin | Goal: Dashboard plus CSV/PDF export backing the cost-and-profit section of the business case. || AC: Date-ranged, zone-filterable; exports generated async for large ranges; numbers match the metrics engine exactly. || Owner: solo dev, WIP=1","Backend,Frontend",2026-12-03,2026-12-04,Dev
DEV-56 · RBAC matrix verification across every endpoint,Planned,"Assignee: Dev | Sprint: S5 · Donations, Ads, Complaints & Admin | Goal: Systematically prove no role can reach another role's data. || AC: Parameterised test walks the full (role x endpoint) matrix asserting 200/403; IDOR probes on order, listing, donation and KYC document IDs. || Owner: solo dev, WIP=1","Testing,Security,High-Risk",2026-12-04,2026-12-05,Dev
DEV-57 · MILESTONE: feature complete,Planned,"Assignee: Dev | Sprint: S5 · Donations, Ads, Complaints & Admin | Goal: Every use case from the SRS use-case diagram is implemented. || AC: Traceability matrix maps each use case and FR to a merged PR and a passing test. || Owner: solo dev, WIP=1",Milestone,2026-12-05,2026-12-05,Dev
DEV-58 · Security hardening pass,Planned,"Assignee: Dev | Sprint: S6 · Hardening, Observability & Release | Goal: OWASP ASVS L1 sweep across the whole surface. || AC: Rate limiting (Bucket4j) on auth, OTP and checkout; malware scan on uploads; PII redacted from logs; security headers and CORS locked down; dependency CVE scan clean. || Owner: solo dev, WIP=1","Security,High-Risk",2026-12-07,2026-12-09,Dev
DEV-59 · Load test with k6 + fix the top 3 bottlenecks,Planned,"Assignee: Dev | Sprint: S6 · Hardening, Observability & Release | Goal: Model realistic behaviour: heavy browse, bursty checkout on newly listed stock. || AC: Target and result recorded (e.g. 300 concurrent browsers, 20 checkouts/s, p95 under 500 ms); three slowest paths profiled and fixed, not just noted. || Owner: solo dev, WIP=1","Performance,Testing",2026-12-09,2026-12-11,Dev
"DEV-60 · Redis caching for catalog & pricing, with event-driven invalidation",Planned,"Assignee: Dev | Sprint: S6 · Hardening, Observability & Release | Goal: Cache the hot zone-catalog reads; invalidate on listing and pricing events from the outbox. || AC: Cache hit ratio measured; no stale expired listing ever served; TTL plus explicit eviction, never TTL alone. || Owner: solo dev, WIP=1","Backend,Performance",2026-12-11,2026-12-12,Dev
"DEV-61 · Observability: metrics, dashboards & alerts",Planned,"Assignee: Dev | Sprint: S6 · Hardening, Observability & Release | Goal: Actuator + Micrometer -> Prometheus -> Grafana, with alerts that page on business failure, not just CPU. || AC: Dashboards for order funnel, payment success rate, reservation release rate, expiry sweeper lag; alerts on payment failure spike and webhook backlog. || Owner: solo dev, WIP=1","DevOps,Performance",2026-12-12,2026-12-13,Dev
DEV-62 · CD pipeline: staging to production with migration gate,Planned,"Assignee: Dev | Sprint: S6 · Hardening, Observability & Release | Goal: Automated, reversible deploys. Backward-compatible migrations only. || AC: Flyway runs as a gated step; expand/contract migration policy documented; rollback rehearsed once and timed. || Owner: solo dev, WIP=1","DevOps,High-Risk",2026-12-13,2026-12-15,Dev
"DEV-63 · Backup, restore drill & secrets management",Planned,"Assignee: Dev | Sprint: S6 · Hardening, Observability & Release | Goal: An untested backup is not a backup. || AC: Nightly PITR-capable backups; a restore into a scratch DB performed and timed; secrets in a vault/parameter store, zero secrets in the repo. || Owner: solo dev, WIP=1","DevOps,Security,High-Risk",2026-12-15,2026-12-16,Dev
"DEV-64 · Documentation: OpenAPI, architecture, ADR index, runbook",Planned,"Assignee: Dev | Sprint: S6 · Hardening, Observability & Release | Goal: Make the system explainable to an examiner, an investor and the next developer. || AC: Swagger UI published; C4 context+container diagrams; ADR index; incident runbook; README gets a new machine running in under 15 minutes. || Owner: solo dev, WIP=1",Docs,2026-12-16,2026-12-17,Dev
DEV-65 · UAT with real merchants and customers + defect triage,Planned,"Assignee: Dev | Sprint: S6 · Hardening, Observability & Release | Goal: 5-8 external testers on the staging environment with scripted and free-form tasks. || AC: Findings logged and triaged into fix-now / post-v1; all severity-1 defects closed before release. || Owner: solo dev, WIP=1",Testing,2026-12-17,2026-12-18,Dev
DEV-66 · MILESTONE: v1.0 production release & demo,Planned,"Assignee: Dev | Sprint: S6 · Hardening, Observability & Release | Goal: Tagged release, deployed, monitored, demo-ready. || AC: v1.0.0 tag; production smoke tests pass; dashboards green; demo script rehearsed. || Owner: solo dev, WIP=1","Milestone,DevOps",2026-12-19,2026-12-19,Dev
